Perfil_N;Pico_1_detrend;Pico_2_detrend;Media_Z_detrend;MPD_Perfil
158;0.411203;0.562144;0.000000;0.486673
159;0.485807;0.557401;-0.000000;0.521604
160;0.440058;0.542745;-0.000000;0.491401
161;0.433535;0.507731;-0.000000;0.470633
162;0.437249;0.484211;-0.000000;0.460730
163;0.383430;0.439584;-0.000000;0.411507
164;0.376100;0.441379;0.000000;0.408739
165;0.341848;0.373148;-0.000000;0.357498
166;0.336440;0.460896;0.000000;0.398668
167;0.277228;0.526550;-0.000000;0.401889
168;0.356977;0.405032;-0.000000;0.381005
169;0.295776;0.270157;-0.000000;0.282966
170;0.287353;0.276451;-0.000000;0.281902
171;0.285712;0.252491;0.000000;0.269102
172;0.340133;0.326309;-0.000000;0.333221
173;0.351171;0.372379;0.000000;0.361775
174;0.305095;0.320561;0.000000;0.312828
175;0.292584;0.426452;-0.000000;0.359518
176;0.304872;0.409709;-0.000000;0.357290
177;0.291581;0.383149;0.000000;0.337365
178;0.289591;0.379654;-0.000000;0.334622
179;0.309573;0.383699;0.000000;0.346636
180;0.270916;0.419270;-0.000000;0.345093
181;0.284873;0.337105;0.000000;0.310989
182;0.283518;0.355955;0.000000;0.319736
183;0.280347;0.358474;-0.000000;0.319410
184;0.290769;0.334001;-0.000000;0.312385
185;0.293097;0.417537;0.000000;0.355317
186;0.252348;0.422845;-0.000000;0.337597
187;0.230021;0.373535;0.000000;0.301778
188;0.305134;0.312188;0.000000;0.308661
189;0.277381;0.329185;-0.000000;0.303283
190;0.262651;0.353542;-0.000000;0.308097
191;0.297193;0.324891;0.000000;0.311042
